18:28:10.082 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
18:28:10.901 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0
18:28:10.956 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 37 ms to scan 1 urls, producing 3 keys and 6 values 
18:28:10.990 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 4 keys and 9 values 
18:28:11.004 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 3 keys and 10 values 
18:28:11.163 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 156 ms to scan 174 urls, producing 0 keys and 0 values 
18:28:11.174 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
18:28:11.189 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 7 values 
18:28:11.203 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
18:28:11.345 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 139 ms to scan 174 urls, producing 0 keys and 0 values 
18:28:11.348 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
18:28:11.349 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/954936400
18:28:11.349 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$333/146799499
18:28:11.350 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
18:28:11.351 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
18:28:11.362 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
18:28:14.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
18:28:16.564 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
18:28:18.626 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
18:28:18.627 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
18:28:18.629 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$342/1346237136
18:28:20.153 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
18:28:22.033 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
18:28:22.033 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
18:28:22.033 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.62]
18:28:22.216 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
18:28:22.942 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8710d7c3-83e8-4a90-b682-8eb514ae853f_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
